
OccupationCode|ExperienceLevel
11-9199.10|Over 1 year, up to and including 2 years
11-9199.10|Over 10 years
11-9199.10|Over 2 years, up to and including 4 years
11-9199.10|Over 4 years, up to and including 6 years
11-9199.10|Over 6 years, up to and including 8 years
13-1011.00|Over 1 month, up to and including 3 months
13-1011.00|Over 1 year, up to and including 2 years
13-1011.00|Over 2 years, up to and including 4 years
13-1011.00|Over 4 years, up to and including 6 years
13-1011.00|Over 6 months, up to and including 1 year
13-1011.00|Over 6 years, up to and including 8 years
13-1021.00|None
13-1021.00|Over 1 month, up to and including 3 months
13-1021.00|Over 1 year, up to and including 2 years
13-1021.00|Over 10 years
13-1021.00|Over 2 years, up to and including 4 years
13-1021.00|Over 4 years, up to and including 6 years
13-1021.00|Over 6 months, up to and including 1 year
13-1021.00|Over 8 years, up to and including 10 years
13-1022.00|None
13-1022.00|Over 1 year, up to and including 2 years
13-1022.00|Over 4 years, up to and including 6 years
13-1031.00|None
13-1031.00|Over 1 year, up to and including 2 years
13-1031.00|Over 2 years, up to and including 4 years
13-1031.00|Over 4 years, up to and including 6 years
13-1031.00|Over 6 months, up to and including 1 year
13-1031.00|Over 6 years, up to and including 8 years
13-1031.00|Over 8 years, up to and including 10 years
13-1032.00|Over 1 year, up to and including 2 years
13-1032.00|Over 2 years, up to and including 4 years
13-1041.03|None
13-1041.03|Over 1 year, up to and including 2 years
13-1041.03|Over 2 years, up to and including 4 years
13-1041.03|Over 4 years, up to and including 6 years
13-1041.03|Over 6 months, up to and including 1 year
13-1041.03|Over 8 years, up to and including 10 years
13-1041.04|None
13-1041.04|Over 2 years, up to and including 4 years
13-1041.04|Over 4 years, up to and including 6 years
13-1041.04|Over 6 months, up to and including 1 year
13-1041.04|Over 6 years, up to and including 8 years
13-1071.00|Over 1 year, up to and including 2 years
13-1071.00|Over 2 years, up to and including 4 years
13-1071.00|Over 4 years, up to and including 6 years
13-1121.00|Over 1 year, up to and including 2 years
13-1121.00|Over 2 years, up to and including 4 years
13-1121.00|Over 4 years, up to and including 6 years
13-1121.00|Over 6 years, up to and including 8 years
13-1199.06|None
13-1199.06|Over 1 year, up to and including 2 years
13-1199.06|Over 10 years
13-1199.06|Over 2 years, up to and including 4 years
13-1199.06|Over 3 months, up to and including 6 months
13-1199.06|Over 4 years, up to and including 6 years
13-1199.06|Over 6 months, up to and including 1 year
13-1199.06|Over 6 years, up to and including 8 years
13-2031.00|Over 1 year, up to and including 2 years
13-2031.00|Over 2 years, up to and including 4 years
13-2031.00|Over 4 years, up to and including 6 years
13-2031.00|Over 6 months, up to and including 1 year
13-2031.00|Over 8 years, up to and including 10 years
13-2072.00|Over 1 year, up to and including 2 years
13-2072.00|Over 10 years
13-2072.00|Over 2 years, up to and including 4 years
13-2072.00|Over 3 months, up to and including 6 months
13-2072.00|Over 4 years, up to and including 6 years
13-2081.00|Over 1 year, up to and including 2 years
13-2081.00|Over 6 months, up to and including 1 year
13-2081.00|Over 8 years, up to and including 10 years
13-2081.00|Up to and including 1 month
15-1211.00|Over 1 year, up to and including 2 years
15-1211.00|Over 10 years
15-1211.00|Over 2 years, up to and including 4 years
15-1211.00|Over 4 years, up to and including 6 years
15-1211.00|Over 6 years, up to and including 8 years
15-1211.00|Over 8 years, up to and including 10 years
15-1212.00|Over 10 years
15-1212.00|Over 2 years, up to and including 4 years
15-1212.00|Over 4 years, up to and including 6 years
15-1212.00|Over 6 months, up to and including 1 year
15-1212.00|Over 6 years, up to and including 8 years
15-1212.00|Over 8 years, up to and including 10 years
15-1221.00|None
15-1221.00|Over 10 years
15-1221.00|Over 4 years, up to and including 6 years
15-1231.00|Over 1 year, up to and including 2 years
15-1231.00|Over 2 years, up to and including 4 years
15-1231.00|Over 4 years, up to and including 6 years
15-1231.00|Over 6 months, up to and including 1 year
15-1231.00|Over 6 years, up to and including 8 years
15-1232.00|Over 1 year, up to and including 2 years
15-1232.00|Over 2 years, up to and including 4 years
15-1232.00|Over 3 months, up to and including 6 months
15-1232.00|Over 4 years, up to and including 6 years
15-1232.00|Over 6 months, up to and including 1 year
15-1242.00|Over 1 year, up to and including 2 years
15-1242.00|Over 10 years
15-1242.00|Over 2 years, up to and including 4 years
15-1242.00|Over 4 years, up to and including 6 years
15-1242.00|Over 6 months, up to and including 1 year
15-1242.00|Over 6 years, up to and including 8 years
15-1244.00|Over 1 year, up to and including 2 years
15-1244.00|Over 2 years, up to and including 4 years
15-1244.00|Over 4 years, up to and including 6 years
15-1244.00|Over 6 years, up to and including 8 years
15-1244.00|Over 8 years, up to and including 10 years
15-1251.00|Over 2 years, up to and including 4 years
15-1251.00|Over 4 years, up to and including 6 years
15-1251.00|Over 8 years, up to and including 10 years
15-2099.01|Over 1 year, up to and including 2 years
15-2099.01|Over 2 years, up to and including 4 years
15-2099.01|Over 4 years, up to and including 6 years
15-2099.01|Over 6 months, up to and including 1 year
17-1021.00|Over 1 year, up to and including 2 years
17-1021.00|Over 2 years, up to and including 4 years
17-1021.00|Over 3 months, up to and including 6 months
17-2011.00|None
17-2011.00|Over 1 year, up to and including 2 years
17-2011.00|Over 10 years
17-2011.00|Over 2 years, up to and including 4 years
17-2011.00|Over 4 years, up to and including 6 years
17-2011.00|Over 6 months, up to and including 1 year
17-2011.00|Over 6 years, up to and including 8 years
17-2011.00|Over 8 years, up to and including 10 years
17-2071.00|Over 1 year, up to and including 2 years
17-2071.00|Over 10 years
17-2071.00|Over 2 years, up to and including 4 years
17-2071.00|Over 6 months, up to and including 1 year
17-2071.00|Over 6 years, up to and including 8 years
17-2072.00|None
17-2072.00|Over 1 year, up to and including 2 years
17-2072.00|Over 10 years
17-2072.00|Over 2 years, up to and including 4 years
17-2072.00|Over 3 months, up to and including 6 months
17-2072.00|Over 4 years, up to and including 6 years
17-2072.01|Over 1 year, up to and including 2 years
17-2072.01|Over 10 years
17-2072.01|Over 2 years, up to and including 4 years
17-2072.01|Over 4 years, up to and including 6 years
17-2072.01|Over 6 months, up to and including 1 year
17-2072.01|Over 6 years, up to and including 8 years
17-2112.00|Over 1 year, up to and including 2 years
17-2112.00|Over 2 years, up to and including 4 years
17-2112.00|Over 4 years, up to and including 6 years
17-2112.00|Over 6 years, up to and including 8 years
17-2112.00|Over 8 years, up to and including 10 years
17-2141.00|Over 1 year, up to and including 2 years
17-2141.00|Over 2 years, up to and including 4 years
17-2141.00|Over 4 years, up to and including 6 years
17-2141.00|Over 6 months, up to and including 1 year
17-2141.00|Over 6 years, up to and including 8 years
17-2141.00|Over 8 years, up to and including 10 years
17-2151.00|None
17-2151.00|Over 1 year, up to and including 2 years
17-2151.00|Over 10 years
17-2151.00|Over 4 years, up to and including 6 years
17-2151.00|Over 8 years, up to and including 10 years
17-2171.00|None
17-2171.00|Over 1 year, up to and including 2 years
17-2171.00|Over 10 years
17-2171.00|Over 4 years, up to and including 6 years
17-2171.00|Over 6 years, up to and including 8 years
17-2199.05|Over 1 year, up to and including 2 years
17-2199.05|Over 2 years, up to and including 4 years
